Country;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Spain;;;;;;;;;;;;;;;;;;;;;;;;;;10122.28;10563.32;11276.21;11937.62;12503.46;13688.63;14758.71;15566.44;16031.30;16331.91;17021.49;17806.12;17979.03;18758.07;18492.02;18515.74;18771.31;17917.78;18565.15;18988.03;19923.30;21005.48;21873.40;22386.75;24296.42;23529.20;25498.75;27141.01;
Sweden;2695.54;2826.87;2912.93;3112.04;3551.49;3946.73;4253.83;4529.87;4737.46;5297.69;5970.87;6288.76;6510.98;6748.29;7080.38;7508.35;7883.56;8302.73;8597.61;9155.05;9688.35;10405.46;10903.19;10562.07;10660.16;10884.52;11050.71;11128.66;11413.19;12134.67;13248.84;14040.11;14571.66;14695.53;15255.68;15796.75;17127.52;18715.95;20019.52;20223.06;20801.62;21959.64;22993.50;23123.79;23451.34;23617.98;24281.49;24476.60;25262.68;26618.72;26770.65;29185.96;31815.04;33069.09
Switzerland;;;;;;;;;;;;;;;;;;;;;;;;;;18718.21;19143.26;20564.95;20980.85;21738.11;22363.00;23428.39;23592.81;23475.11;24276.55;25085.62;26892.72;29308.33;30756.07;31435.06;31853.45;32733.53;33502.43;35120.02;35625.10;35701.77;36567.86;36532.25;37403.38;39188.85;40568.90;42049.58;46213.93;48230.40
Türkiye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8757.95;9827.58;11334.60;11586.97;12721.47;13437.32;14334.40;14609.26;15594.02;;;;;;
England;;;;;;;;;;;;;;;;;;;;;;;;;;12526.70;13416.82;13873.47;13825.09;14488.15;15891.07;17007.67;17314.74;17952.67;19155.26;19332.54;20510.45;21200.05;21632.03;21478.17;21870.33;22018.98;22509.49;23120.83;23584.28;24523.61;25346.45;25954.69;27085.45;28862.60;29005.10;31223.43;32579.51;34423.81
United States;3806.97;4101.62;4400.31;4882.99;5299.52;5833.16;6298.13;6857.30;7591.80;8349.93;9214.77;10149.86;10810.20;11518.59;12601.79;13271.44;13946.54;14543.91;15731.52;16713.26;17600.61;18089.53;19058.67;19615.61;20318.79;21125.98;21939.23;22810.29;24040.98;24924.66;26476.48;27557.48;28642.58;29797.97;31279.60;32294.02;34086.71;35378.38;36700.10;36391.77;37420.10;38898.52;40396.53;40154.11;41813.03;43148.38;44110.67;45958.59;48282.00;50215.45;54014.07;58078.83;58228.51;
Brazil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4712.22;4847.88;4933.36;4948.66;5213.43;5498.41;5937.64;6529.40;7189.72;7562.57;8206.72;8917.53;9778.88;10056.56;10276.13;9854.48;9566.07;9754.60;10275.93;10877.72;11557.64;11584.50;;
China;;;;;;;;;;;;;;;;;;;;;;;633.63;694.44;797.30;859.20;986.16;1067.15;1149.44;1224.07;1379.18;1504.65;1646.77;1831.86;2051.23;2349.21;2769.29;3289.97;3790.78;4157.19;4746.01;5511.23;6235.66;6611.88;7038.04;7490.48;8018.34;8814.74;9616.36;10409.12;10965.23;12024.40;;
Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12133.11;13358.55;13580.96;14004.73;13377.43;13760.89;14479.44;15051.66;16242.93;;;;
South Africa;;;;;;;;;;;;;;;;;;;;;;;;;;3227.05;3395.79;3699.03;3653.70;3832.17;4173.32;4378.97;4476.57;4686.75;5416.69;5979.85;6455.85;6965.40;7135.44;7093.48;7519.44;7862.91;8251.88;8251.73;8306.27;8607.29;8589.49;8683.56;8646.23;8720.20;8364.83;9066.13;9748.47;
